type	time	latitude	longitude	name	id
T	2025-02-19 11:07:10	19.199365220	99.848259007		1027
T	2025-02-19 11:07:13	19.199081115	99.848104778		1028
T	2025-02-19 11:07:16	19.198840454	99.847930784		1029
T	2025-02-19 11:07:19	19.198681356	99.847684989		1030
T	2025-02-19 11:07:23	19.198727535	99.847309785		1031
T	2025-02-19 11:07:26	19.198620835	99.847018555		1032
T	2025-02-19 11:07:29	19.198484559	99.846702679		1033
T	2025-02-19 11:07:32	19.198352853	99.846374449		1034
T	2025-02-19 11:07:35	19.198311947	99.846035877		1035
T	2025-02-19 11:07:38	19.198315612	99.845700925		1036
T	2025-02-19 11:07:41	19.198317873	99.845361750		1037
T	2025-02-19 11:07:44	19.198319765	99.845018200		1038
T	2025-02-19 11:07:47	19.198331142	99.844674310		1039
T	2025-02-19 11:07:50	19.198376643	99.844330706		1040
T	2025-02-19 11:07:53	19.198439342	99.843976763		1041
T	2025-02-19 11:07:57	19.198546269	99.843508198		1042
T	2025-02-19 11:08:00	19.198580461	99.843153496		1043
T	2025-02-19 11:08:03	19.198504430	99.842806304		1044
T	2025-02-19 11:08:06	19.198379667	99.842473341		1045
T	2025-02-19 11:08:10	19.198225714	99.842022698		1046
T	2025-02-19 11:08:14	19.198116939	99.841564149		1047
T	2025-02-19 11:08:17	19.198103560	99.841210519		1048
T	2025-02-19 11:08:20	19.198011170	99.840888953		1049
T	2025-02-19 11:08:23	19.197961108	99.840552679		1050
T	2025-02-19 11:08:26	19.197877997	99.840233673		1051
T	2025-02-19 11:08:29	19.197786826	99.839927386		1052
T	2025-02-19 11:08:32	19.197810691	99.839633614		1053
T	2025-02-19 11:08:36	19.198037552	99.839380311		1054
T	2025-02-19 11:08:40	19.198271624	99.839221335		1055
T	2025-02-19 11:08:44	19.198415672	99.838958849		1056
T	2025-02-19 11:08:48	19.198470100	99.838660025		1057
T	2025-02-19 11:08:54	19.198299894	99.838436603		1058
T	2025-02-19 11:08:59	19.198093462	99.838397300		1059
T	2025-02-19 11:09:04	19.198078405	99.838173335		1060
T	2025-02-19 11:09:10	19.198094637	99.837976948		1061
